layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
2,155,female,0.43239651348497316,0.6704883553914025,0.07505233892593899,0.07895290851436164,0.0039005695884226574,20.24137929200434,152,14
2,155,male,0.28570502986544327,0.5641500367460004,0.011283452893924434,0.03008225440218944,0.018798801508265007,1.6002219283693897,133,14
2,155,family,0.31428666787232207,0.6444808692707852,0.04600864666352546,0.058830944017747605,0.012822297354222148,4.588174988297824,119,14
2,155,marriage,0.2705312416299178,0.5607500246475402,0.005007447748132523,0.024850622973627657,0.019843175225495134,1.2523511328190282,161,14
2,155,love,0.1549464901992479,0.600892892654019,-0.024211605585405978,1.1493988643939221e-05,0.024223099574049917,0.000474505279901428,87,14
2,155,wealth,0.1746720915358419,0.4990518518518519,-0.025919681877324807,7.999872002047968e-06,0.025927681749326855,0.0003085455953634234,125,14
2,155,emotion,0.1634511106343097,0.46929691298006804,-0.025728773405269446,8.26432620948414e-06,0.02573703773147893,0.0003211063485777522,121,14
2,155,scandal,0.09194906067308432,0.4552065767284992,-0.02359648717860377,1.3888503097136193e-05,0.023610375681700907,0.0005882372768558768,72,14
2,155,duty,0.11034754641951709,0.4532454361054767,-0.02412780750343832,1.1764429072257124e-05,0.024139571932510578,0.0004873503600089003,85,14
2,155,class,0.10923501593420007,0.3428989542063747,-0.024726560901864838,1.0100806044322337e-05,0.024736661707909162,0.00040833343493089163,99,14
2,155,society,0.16648260338936324,0.45712182291219944,-0.016705246046772693,0.007641104715958534,0.024346350762731228,0.3138501038661405,131,14
2,211,female,0.22971614954609135,0.5146840053349748,-0.00633075023182606,0.01316430046973066,0.01949505070155672,0.6752637205505806,152,12
2,211,male,0.26600860138549076,0.5084091808468539,0.06203471781300765,0.06767567405001428,0.005640956237006628,11.997198913553202,133,12
2,211,family,0.2636419979119299,0.5830024317419275,0.049671636908982436,0.058830944017747605,0.00915930710876517,6.423078002813679,119,12
2,211,marriage,0.21353144935236879,0.4305062604752046,-0.015609980265500926,0.006217314070632662,0.021827294336133587,0.28484126225647144,161,12
2,211,love,0.11748926724962613,0.4734916278884779,-0.020751409945944523,1.1493988643939221e-05,0.02076290393458846,0.0005535829034125644,87,12
2,211,wealth,0.1729344159178933,0.4856592592592593,-0.022215991890991424,7.999872002047968e-06,0.022223991762993472,0.00035996557625660565,125,12
2,211,emotion,0.18111518646770675,0.5291535002430724,-0.022052316333420446,8.26432620948414e-06,0.02206058065962993,0.0003746196138995082,121,12
2,211,scandal,0.16867051543755157,0.5981590781337831,0.04207553492997568,0.05556790089164191,0.013492365961666234,4.118469736545829,72,12
2,211,duty,0.1424546537189221,0.5397160243407708,-0.007190982473925878,0.01177619350132938,0.018967175975255258,0.6208722645939402,85,12
2,211,class,0.13279175431989496,0.4703037441553343,-0.02119300448333628,1.0100806044322337e-05,0.021203105289380603,0.00047638333659102554,99,12
2,211,society,0.17537263192431335,0.46063127197872883,-0.02246606512913506,7.63347124471382e-06,0.022473698600379774,0.00033966243741673935,131,12
2,285,female,0.2962305603752972,0.5424104852775212,0.0657932375952963,0.06579518690543544,1.949310139141758e-06,33753.04515748252,152,10
