layer,dominant,leaning,two-strong
1,0.0,12.5,87.5
2,8.0,44.0,48.0
3,2.4,37.6,60.0
4,5.9,38.1,55.9
5,8.5,31.2,60.2
6,6.1,35.1,58.8
7,7.1,31.7,61.3
8,7.2,30.2,62.6
