primary_concept,count,mean_primary_AP,count_no_secondary
female,297,0.287,3
marriage,221,0.271,6
male,162,0.282,3
society,134,0.279,4
emotion,126,0.232,5
family,105,0.247,4
wealth,87,0.217,2
class,16,0.245,0
love,15,0.228,0
duty,12,0.208,2
scandal,3,0.193,0
