primary_concept,secondary_concept,count,share_within_primary_%
female,male,102,34.343434343434346
female,family,69,23.232323232323232
male,family,50,30.864197530864196
female,marriage,50,16.835016835016834
marriage,female,50,22.624434389140273
marriage,society,38,17.194570135746606
society,emotion,36,26.865671641791046
male,female,33,20.37037037037037
wealth,emotion,31,35.632183908045974
emotion,wealth,28,22.22222222222222
marriage,wealth,27,12.217194570135746
marriage,emotion,25,11.312217194570136
family,female,25,23.80952380952381
society,class,24,17.91044776119403
family,male,23,21.904761904761905
society,wealth,21,15.671641791044776
female,emotion,21,7.070707070707071
marriage,male,21,9.502262443438914
society,marriage,19,14.17910447761194
emotion,class,18,14.285714285714286
male,emotion,17,10.493827160493828
wealth,family,16,18.39080459770115
female,wealth,15,5.05050505050505
female,duty,14,4.713804713804714
emotion,male,13,10.317460317460318
emotion,family,13,10.317460317460318
emotion,society,13,10.317460317460318
marriage,duty,13,5.882352941176471
male,society,13,8.024691358024691
marriage,love,13,5.882352941176471
marriage,family,12,5.429864253393665
male,wealth,12,7.407407407407407
male,class,12,7.407407407407407
family,wealth,12,11.428571428571429
male,love,12,7.407407407407407
emotion,duty,11,8.73015873015873
emotion,love,11,8.73015873015873
family,love,11,10.476190476190476
marriage,class,11,4.97737556561086
society,male,9,6.7164179104477615
family,emotion,9,8.571428571428571
class,wealth,8,50.0
wealth,love,8,9.195402298850574
male,duty,8,4.938271604938271
wealth,society,7,8.045977011494253
wealth,marriage,7,8.045977011494253
society,family,7,5.223880597014926
female,love,7,2.356902356902357
wealth,duty,7,8.045977011494253
wealth,class,7,8.045977011494253
female,society,7,2.356902356902357
family,society,7,6.666666666666667
marriage,None,6,2.7149321266968327
female,scandal,6,2.0202020202020203
emotion,None,5,3.9682539682539684
family,marriage,5,4.761904761904762
emotion,female,5,3.9682539682539684
emotion,marriage,5,3.9682539682539684
society,love,5,3.7313432835820897
marriage,scandal,5,2.262443438914027
family,None,4,3.8095238095238093
love,emotion,4,26.666666666666668
society,duty,4,2.985074626865672
family,class,4,3.8095238095238093
emotion,scandal,4,3.1746031746031744
family,duty,4,3.8095238095238093
society,None,4,2.985074626865672
society,female,4,2.985074626865672
female,None,3,1.0101010101010102
male,None,3,1.8518518518518519
duty,emotion,3,25.0
love,duty,3,20.0
love,wealth,3,20.0
female,class,3,1.0101010101010102
class,love,2,12.5
class,male,2,12.5
class,emotion,2,12.5
duty,love,2,16.666666666666668
wealth,None,2,2.2988505747126435
love,marriage,2,13.333333333333334
duty,None,2,16.666666666666668
duty,male,2,16.666666666666668
scandal,class,2,66.66666666666667
class,society,1,6.25
family,scandal,1,0.9523809523809523
duty,scandal,1,8.333333333333334
duty,class,1,8.333333333333334
class,family,1,6.25
duty,society,1,8.333333333333334
love,class,1,6.666666666666667
male,marriage,1,0.6172839506172839
male,scandal,1,0.6172839506172839
love,society,1,6.666666666666667
love,family,1,6.666666666666667
scandal,duty,1,33.333333333333336
society,scandal,1,0.746268656716418
wealth,female,1,1.1494252873563218
wealth,scandal,1,1.1494252873563218
