layer,dominant,leaning,two-strong
1,0.0,0.0,100.0
2,4.5,31.8,63.6
3,2.0,35.3,62.7
4,5.5,37.0,57.5
5,7.3,33.0,59.6
6,7.3,36.7,56.0
7,9.2,31.6,59.2
8,9.7,31.0,59.4
