layer,neuron_id,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
6,4328,male,0.7261912941062467,family,0.2160500167922316,0.7024888355889449,dominant
7,1773,male,0.6527723618134995,family,0.2439530262562851,0.6262816241103888,dominant
5,2246,male,0.626468657414909,family,0.2024639477746709,0.6768171143837504,dominant
4,2130,male,0.591075112632674,family,0.2106006405006985,0.6436990212523529,dominant
3,2130,male,0.5795554571030597,family,0.1914677951241514,0.6696298974547772,dominant
2,1466,male,0.5667136414423994,family,0.2156598794338178,0.6194552869693138,dominant
5,2093,female,0.5612504284758084,duty,0.1300519452490713,0.7682817875604372,dominant
3,3419,female,0.5083924337387776,family,0.3061099391669204,0.3978865159073307,leaning
8,3036,society,0.4973540722034092,marriage,0.2587457488711628,0.479755442225281,leaning
6,376,society,0.4968989283137924,marriage,0.2575362524593867,0.4817130038596798,leaning
