primary_concept,secondary_concept,count,share_within_primary_%
female,male,72,37.696335078534034
female,family,45,23.56020942408377
female,marriage,40,20.94240837696335
male,family,34,34.69387755102041
marriage,female,26,19.548872180451127
male,female,26,26.53061224489796
marriage,society,24,18.045112781954888
wealth,emotion,19,40.42553191489362
emotion,wealth,19,25.0
society,emotion,19,21.839080459770116
society,marriage,18,20.689655172413794
family,female,17,30.90909090909091
marriage,wealth,16,12.030075187969924
marriage,male,14,10.526315789473685
society,class,13,14.942528735632184
society,wealth,12,13.793103448275861
family,male,11,20.0
marriage,family,11,8.270676691729323
marriage,class,10,7.518796992481203
emotion,class,10,13.157894736842104
emotion,family,9,11.842105263157896
emotion,male,9,11.842105263157896
male,society,9,9.183673469387756
female,duty,9,4.712041884816754
female,wealth,9,4.712041884816754
marriage,duty,9,6.7669172932330826
marriage,emotion,8,6.015037593984962
wealth,family,8,17.02127659574468
marriage,love,7,5.2631578947368425
class,wealth,7,70.0
family,wealth,7,12.727272727272727
male,love,7,7.142857142857143
female,emotion,7,3.6649214659685865
male,class,7,7.142857142857143
wealth,marriage,7,14.893617021276595
society,male,6,6.896551724137931
male,emotion,6,6.122448979591836
emotion,society,6,7.894736842105263
emotion,love,6,7.894736842105263
marriage,None,6,4.511278195488722
society,family,6,6.896551724137931
family,emotion,6,10.909090909090908
wealth,love,5,10.638297872340425
female,society,5,2.6178010471204187
emotion,duty,5,6.578947368421052
wealth,duty,4,8.51063829787234
society,None,4,4.597701149425287
emotion,None,4,5.2631578947368425
society,duty,4,4.597701149425287
society,female,3,3.4482758620689653
emotion,marriage,3,3.9473684210526314
family,None,3,5.454545454545454
emotion,female,3,3.9473684210526314
duty,emotion,3,33.333333333333336
love,emotion,3,27.272727272727273
male,wealth,3,3.061224489795918
family,love,3,5.454545454545454
family,marriage,3,5.454545454545454
male,duty,3,3.061224489795918
family,class,3,5.454545454545454
love,wealth,3,27.272727272727273
female,class,2,1.0471204188481675
class,emotion,2,20.0
female,love,2,1.0471204188481675
marriage,scandal,2,1.5037593984962405
society,love,2,2.2988505747126435
love,duty,2,18.181818181818183
love,marriage,2,18.181818181818183
emotion,scandal,2,2.6315789473684212
duty,class,1,11.11111111111111
duty,society,1,11.11111111111111
duty,scandal,1,11.11111111111111
duty,male,1,11.11111111111111
duty,love,1,11.11111111111111
duty,None,1,11.11111111111111
class,male,1,10.0
family,society,1,1.8181818181818181
family,duty,1,1.8181818181818181
male,scandal,1,1.0204081632653061
male,marriage,1,1.0204081632653061
love,society,1,9.090909090909092
male,None,1,1.0204081632653061
wealth,None,1,2.127659574468085
wealth,class,1,2.127659574468085
wealth,female,1,2.127659574468085
wealth,society,1,2.127659574468085
