layer,dominant,leaning,two-strong
1,0.0,0.0,100.0
2,33.3,0.0,66.7
3,20.0,30.0,50.0
4,14.7,23.5,61.8
5,11.3,38.7,50.0
6,11.4,28.6,60.0
7,9.5,32.7,57.8
8,9.2,29.6,61.3
