primary_concept,secondary_concept,count,share_within_primary_%
female,male,49,40.49586776859504
female,family,38,31.40495867768595
male,female,20,32.25806451612903
female,marriage,19,15.702479338842975
male,family,19,30.64516129032258
marriage,female,17,20.73170731707317
marriage,society,15,18.29268292682927
family,female,14,46.666666666666664
society,marriage,13,20.967741935483872
emotion,wealth,12,30.0
society,class,11,17.741935483870968
marriage,wealth,9,10.975609756097562
society,emotion,9,14.516129032258064
society,wealth,8,12.903225806451612
male,society,8,12.903225806451612
marriage,male,8,9.75609756097561
marriage,class,7,8.536585365853659
marriage,duty,7,8.536585365853659
class,wealth,6,66.66666666666667
wealth,marriage,6,31.57894736842105
emotion,male,6,15.0
marriage,love,5,6.097560975609756
wealth,family,5,26.31578947368421
society,family,5,8.064516129032258
marriage,family,5,6.097560975609756
male,love,5,8.064516129032258
family,male,5,16.666666666666668
female,emotion,4,3.3057851239669422
female,wealth,4,3.3057851239669422
male,class,4,6.451612903225806
emotion,love,4,10.0
emotion,duty,4,10.0
emotion,society,4,10.0
marriage,emotion,4,4.878048780487805
female,society,4,3.3057851239669422
society,duty,4,6.451612903225806
society,male,4,6.451612903225806
wealth,emotion,3,15.789473684210526
society,None,3,4.838709677419355
marriage,None,3,3.658536585365854
society,female,3,4.838709677419355
emotion,family,3,7.5
duty,emotion,3,33.333333333333336
class,emotion,2,22.22222222222222
emotion,class,2,5.0
wealth,love,2,10.526315789473685
family,emotion,2,6.666666666666667
family,marriage,2,6.666666666666667
marriage,scandal,2,2.4390243902439024
love,emotion,2,33.333333333333336
society,love,2,3.225806451612903
love,wealth,2,33.333333333333336
male,emotion,2,3.225806451612903
emotion,scandal,2,5.0
love,marriage,2,33.333333333333336
family,None,2,6.666666666666667
emotion,female,1,2.5
duty,None,1,11.11111111111111
duty,society,1,11.11111111111111
emotion,None,1,2.5
class,male,1,11.11111111111111
duty,class,1,11.11111111111111
duty,love,1,11.11111111111111
duty,male,1,11.11111111111111
duty,scandal,1,11.11111111111111
male,duty,1,1.6129032258064515
female,love,1,0.8264462809917356
emotion,marriage,1,2.5
family,love,1,3.3333333333333335
family,society,1,3.3333333333333335
family,wealth,1,3.3333333333333335
female,class,1,0.8264462809917356
female,duty,1,0.8264462809917356
family,duty,1,3.3333333333333335
family,class,1,3.3333333333333335
male,scandal,1,1.6129032258064515
male,wealth,1,1.6129032258064515
male,marriage,1,1.6129032258064515
wealth,None,1,5.2631578947368425
wealth,class,1,5.2631578947368425
wealth,female,1,5.2631578947368425
