layer,dominant,leaning,two-strong
1,0.0,0.0,100.0
2,0.0,14.3,85.7
3,4.3,30.4,65.2
4,6.4,40.4,53.2
5,7.0,35.2,57.7
6,6.2,40.6,53.1
7,9.4,36.5,54.2
8,10.1,31.3,58.6
