layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
8,0,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
8,0,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
8,0,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
8,0,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
8,0,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
8,0,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
8,0,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
8,0,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
8,0,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
8,0,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
8,0,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
8,1,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
8,1,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
8,1,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
8,1,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
8,1,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
8,1,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
8,1,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
8,1,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
8,1,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
8,1,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
8,1,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
8,2,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
8,2,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
8,2,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
8,2,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
8,2,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
8,2,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
8,2,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
8,2,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
8,2,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
8,2,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
8,2,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
8,3,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
8,3,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
8,3,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
8,3,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
8,3,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
8,3,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
8,3,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
