layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
5,0,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,0,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,0,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,0,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
5,0,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
5,0,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
5,0,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
5,0,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
5,0,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
5,0,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
5,0,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
5,1,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,1,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,1,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,1,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
5,1,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
5,1,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
5,1,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
5,1,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
5,1,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
5,1,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
5,1,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
5,2,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,2,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,2,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,2,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
5,2,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
5,2,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
5,2,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
5,2,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
5,2,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
5,2,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
5,2,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
5,3,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,3,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,3,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,3,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
5,3,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
5,3,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
5,3,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
5,3,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
5,3,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
5,3,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
5,3,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
5,4,female,0.2154297646013611,0.5024109982558737,-0.014127990788393092,0.01316430046973066,0.02729229125812375,0.482345008879746,152,16
5,4,male,0.29223343662156376,0.6156015037593985,-0.0018743075804655597,0.02256357047262447,0.02443787805309003,0.923303178069838,133,16
5,4,family,0.2041177398261897,0.5250176993874474,-0.019062635001988442,0.008411623334061612,0.027474258336050054,0.30616379997847754,119,16
5,4,marriage,0.2640525923218392,0.5274943310657596,0.0338200978400694,0.04969503484428764,0.015874937004218236,3.130408317711902,161,16
5,4,love,0.12554999926658755,0.4877798989778467,-0.0012236282975275382,0.02299947127652238,0.024223099574049917,0.9494850650827572,87,16
5,4,wealth,0.15988745967526186,0.4161555555555555,-0.029623371863658196,7.999872002047968e-06,0.029631371735660245,0.00026997980630611313,125,16
5,4,emotion,0.17644858028516572,0.512799282936315,0.0009024337591074759,0.024801242954661906,0.02389880919555443,1.037760616049338,121,16
5,4,scandal,0.09006736924270486,0.4398304290800076,-0.026969157085281997,1.3888503097136193e-05,0.026983045588379134,0.0005147122125681351,72,16
5,4,duty,0.11283560697119821,0.43537525354969575,-0.014087510416932974,0.01177619350132938,0.025863703918262353,0.4553173643686393,85,16
5,4,class,0.14433603520013205,0.47880750972623765,-0.004524948813220166,0.020211712894688996,0.024736661707909162,0.8170752032967141,99,16
5,4,society,0.16657997813779468,0.44884495525631124,-0.020450550371475595,0.007641104715958534,0.02809165508743413,0.2720062129448728,131,16
5,5,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,5,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,5,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,5,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
5,5,love,0.13082706766917293,0.5,9.763890824208493e-06,1.1493988643939221e-05,1.7300978197307277e-06,6.6435445841921,87,0
5,5,wealth,0.18796992481203006,0.5,6.148027008881276e-06,7.999872002047968e-06,1.8518449931666921e-06,4.31994454807121,125,0
5,5,emotion,0.18195488721804512,0.5,6.42609767355964e-06,8.26432620948414e-06,1.8382285359245006e-06,4.495807540883497,121,0
5,5,scandal,0.10827067669172932,0.5,1.2202168143797081e-05,1.3888503097136193e-05,1.686334953339112e-06,8.235905229699682,72,0
5,5,duty,0.12781954887218044,0.5,1.0040297086505352e-05,1.1764429072257124e-05,1.7241319857517735e-06,6.823388433188337,85,0
5,5,class,0.14887218045112782,0.5,8.334027835058059e-06,1.0100806044322337e-05,1.7667782092642783e-06,5.717073186823673,99,0
5,5,society,0.19699248120300752,0.5,5.760819082362368e-06,7.63347124471382e-06,1.8726521623514522e-06,4.0762867348744,131,0
5,6,female,0.22857142857142856,0.5,4.629550665321341e-06,6.578860804463099e-06,1.949310139141758e-06,3.374967019046348,152,0
5,6,male,0.2,0.5,5.638991747956628e-06,7.518683929564969e-06,1.87969218160834e-06,3.999952759913554,133,0
5,6,family,0.17894736842105263,0.5,6.571724991219177e-06,8.403220113947665e-06,1.8314951227284884e-06,4.5881724835043,119,0
5,6,marriage,0.24210526315789474,0.5,4.226983857026548e-06,6.211102967664998e-06,1.9841191106384497e-06,3.130406740177837,161,0
