layer,neuron,primary_concept,primary_score,primary_AP,primary_AUROC,primary_P(fire|1),primary_P(fire|0),primary_lift,primary_label_support,primary_neuron_fires_total,secondary_concept,secondary_score,secondary_AP,secondary_AUROC,secondary_P(fire|1),secondary_P(fire|0),secondary_lift,secondary_label_support,polarity_score,polarity_flag
1,641,female,0.3586,0.3585737360909901,0.6066899766899767,0.2636363636363636,0.1,2.63636361,110,68,marriage,0.303,0.303010853692153,0.5840055512186659,0.1885245901639344,0.119047619047619,1.5836065440747542,122,0.155,two-strong
1,1118,male,0.3368,0.3367539505078519,0.6127286658366057,0.2641509433962264,0.1649746192893401,1.601161093342396,106,93,marriage,0.2717,0.2717126776555408,0.5456240784109637,0.1885245901639344,0.1851851851851851,1.018032781387869,122,0.1931,two-strong
1,2262,male,0.3191,0.3191053194431694,0.5941480701082272,0.2264150943396226,0.1269035532994923,1.7841509293371172,106,74,family,0.3027,0.3027166969814187,0.6024659863945578,0.2407407407407407,0.1224489795918367,1.9660493666599796,108,0.0514,two-strong
1,1828,female,0.3051,0.3051227783323574,0.5974592074592074,0.1727272727272727,0.0846153846153846,2.0413222899248686,110,52,emotion,0.3036,0.3035579020547508,0.6544371394745461,0.1717171717171717,0.0872817955112219,1.9673881448475203,99,0.0051,two-strong
1,2158,female,0.3051,0.3050909090909091,0.5545454545454546,0.0909090909090909,0.0,90909090.9090909,110,10,marriage,0.2466,0.2465573770491803,0.495055945875618,0.0163934426229508,0.0211640211640211,0.7745901273350428,122,0.1919,two-strong
1,2433,family,0.3016,0.3016064608426555,0.5673776455026456,0.2037037037037037,0.0841836734693877,2.41975305767602,108,55,marriage,0.2514,0.2514144612987948,0.5305317026628502,0.0983606557377049,0.1137566137566137,0.8646587800467778,122,0.1664,two-strong
1,1461,emotion,0.2998,0.2998465336239838,0.6652056726869695,0.4444444444444444,0.226932668329177,1.9584859498557072,99,135,marriage,0.25,0.2499715358273029,0.5396391707867118,0.3278688524590163,0.2513227513227513,1.3045729024882065,122,0.1663,two-strong
1,299,female,0.2996,0.2996487336414597,0.5868414918414918,0.1909090909090909,0.0897435897435897,2.127272703568832,110,56,family,0.2916,0.2915687638382555,0.5992063492063492,0.1759259259259259,0.0943877551020408,1.863863844116982,108,0.027,two-strong
1,236,female,0.2972,0.2972424242424242,0.5465151515151515,0.1,0.0025641025641025,38.99998479000593,110,12,marriage,0.2554,0.2553740685543964,0.5033177205308352,0.0327868852459016,0.0211640211640211,1.5491802546700857,122,0.1409,two-strong
1,173,male,0.2961,0.2961377117762223,0.5575136481179964,0.1698113207547169,0.0913705583756345,1.858490545697589,106,54,female,0.2854,0.2853526372243593,0.5389044289044289,0.2181818181818181,0.0769230769230769,2.8363635994909093,110,0.0364,two-strong
1,2660,female,0.2956,0.2955757575757576,0.5476223776223778,0.1,0.0051282051282051,19.499996197500742,110,13,family,0.2686,0.2685950232894677,0.5425406273620559,0.0925925925925925,0.0076530612244897,12.09876385119362,108,0.0913,two-strong
1,1032,female,0.2907,0.2907089072543618,0.5486829836829837,0.0727272727272727,0.0025641025641025,28.36362530182249,110,9,family,0.2588,0.2588181818181818,0.5262542517006803,0.0555555555555555,0.0076530612244897,7.259258310716173,108,0.1097,two-strong
1,106,family,0.2903,0.2903197854180677,0.6118905895691611,0.2685185185185185,0.1658163265306122,1.6193732096071536,108,94,female,0.2693,0.26930509430487,0.526946386946387,0.2363636363636363,0.1743589743589743,1.3556149654871816,110,0.0724,two-strong
1,1631,female,0.2901,0.2900826446280992,0.5407692307692307,0.0909090909090909,0.0051282051282051,17.72726927045522,110,12,family,0.253,0.2529863654863655,0.5296201814058956,0.0648148148148148,0.0127551020408163,5.081481083093364,108,0.1279,two-strong
1,1765,marriage,0.2859,0.2859238350664096,0.5356600745945008,0.180327868852459,0.1005291005291005,1.793787730215204,122,60,family,0.2307,0.2307381975136463,0.5316515495086924,0.1296296296296296,0.1173469387755102,1.1046698778648745,108,0.193,two-strong
1,1134,marriage,0.2854,0.2853641498041812,0.5606514008153354,0.1639344262295081,0.1296296296296296,1.2646369925861494,122,69,female,0.2383,0.2382680220421641,0.5438461538461539,0.1181818181818181,0.1435897435897435,0.8230519423199792,110,0.165,two-strong
1,1697,male,0.2843,0.2843043374332134,0.6220189637007949,0.2075471698113207,0.1218274111675127,1.7036163382174072,106,70,family,0.2623,0.2622671366183053,0.5543509070294785,0.2037037037037037,0.1224489795918367,1.663580233327675,108,0.0775,two-strong
1,2150,marriage,0.2829,0.2829442676749288,0.6000303582270795,0.180327868852459,0.1349206349206349,1.3365477239414605,122,73,female,0.2357,0.2357424943227052,0.5131701631701632,0.1909090909090909,0.1333333333333333,1.4318181710795457,110,0.1668,two-strong
1,508,female,0.2826,0.2826258809062003,0.5678321678321678,0.2272727272727272,0.1692307692307692,1.3429751986758076,110,91,male,0.2518,0.2518416501608574,0.5531079398525045,0.2075471698113207,0.1751269035532995,1.185124412155382,106,0.1089,two-strong
1,1406,marriage,0.2812,0.2811803278688525,0.5245901639344263,0.040983606557377,0.0,40983606.55737704,122,5,female,0.2342,0.2341818181818181,0.504055944055944,0.0181818181818181,0.0076923076923076,2.363636056363676,110,0.1671,two-strong
1,1829,family,0.2804,0.2803544120488565,0.5472293083900226,0.1018518518518518,0.0051020408163265,19.962959050222988,108,13,marriage,0.2465,0.2464911027042174,0.5030358227079538,0.0327868852459016,0.0238095238095238,1.3770491224918058,122,0.1208,two-strong
1,819,marriage,0.2775,0.2775151023839549,0.5249587995489636,0.0491803278688524,0.0105820105820105,4.647540544413976,122,10,family,0.2355,0.2354629629629629,0.500224395313681,0.0277777777777777,0.0178571428571428,1.5555554684444497,108,0.1515,two-strong
1,1150,female,0.2767,0.2767272727272727,0.5363636363636364,0.0636363636363636,0.0,63636363.636363626,110,7,marriage,0.2476,0.2476311475409836,0.5056054297857576,0.0163934426229508,0.0132275132275132,1.239344168600663,122,0.1051,two-strong
1,2564,marriage,0.274,0.2740433672874206,0.5499826524416689,0.040983606557377,0.037037037037037,1.106557347172132,122,19,female,0.2558,0.2558385359988975,0.5481818181818182,0.0545454545454545,0.0333333333333333,1.636363587272729,110,0.0664,two-strong
1,2181,male,0.2737,0.2737165482941678,0.5159108322957571,0.1509433962264151,0.1142131979695431,1.3215932798333287,106,61,female,0.2506,0.2506275923728589,0.5131934731934732,0.1545454545454545,0.1128205128205128,1.369834698602085,110,0.0844,two-strong
