layer,neuron_id,concept,AP,AUROC,P(fire|label=1),P(fire|label=0),lift,label_support,neuron_fires_total
5,2093,female,0.5759325316325317,0.757109557109557,0.6,0.14358974358974358,4.1785713994706635,110,122
5,2314,female,0.3912581504058368,0.6158508158508159,0.2636363636363636,0.035897435897435895,7.344155639568651,110,43
5,3434,female,0.36710633631483436,0.5996736596736596,0.2,0.010256410256410256,19.499998098750186,110,26
5,686,female,0.35964165682700466,0.5914452214452214,0.2727272727272727,0.1,2.7272727,110,69
5,1838,female,0.34031939927046606,0.5785198135198135,0.36363636363636365,0.2282051282051282,1.5934627100756333,110,129
5,2625,female,0.33692278527572644,0.5682517482517482,0.16363636363636364,0.03076923076923077,5.318181645340914,110,30
5,501,female,0.3241197087325272,0.5902331002331002,0.22727272727272727,0.05641025641025641,4.028925548412849,110,47
5,914,female,0.3130309775208513,0.6098717948717949,0.33636363636363636,0.11282051282051282,2.9814049322515968,110,81
5,1572,female,0.3103305925753169,0.6371445221445221,0.43636363636363634,0.17692307692307693,2.466403148114796,110,117
5,281,female,0.2911419457735247,0.5393123543123544,0.1,0.023076923076923078,4.333333145555564,110,20
5,2246,male,0.632722897412004,0.7679939660952017,0.6509433962264151,0.17766497461928935,3.6638813809948325,106,139
5,2157,male,0.36233311803720175,0.6130159946365291,0.32075471698113206,0.10406091370558376,3.0823745677100107,106,75
5,3093,male,0.3445754399038322,0.5706349966478307,0.3584905660377358,0.23604060913705585,1.5187664776395045,106,131
5,914,male,0.3316054321172185,0.6331409826644957,0.36792452830188677,0.1065989847715736,3.451482447406174,106,81
5,2606,male,0.3158782049126111,0.5683363662484436,0.1509433962264151,0.015228426395939087,9.911949034649938,106,22
5,251,male,0.2889580705003305,0.5670194425821281,0.2830188679245283,0.1548223350253807,1.8280234957708672,106,91
5,1572,male,0.28424097406161386,0.6003974715065608,0.37735849056603776,0.19543147208121828,1.9308992795096696,106,117
5,2372,male,0.28096342127474205,0.5459007757877599,0.09433962264150944,0.0025380710659898475,37.16979667585483,106,11
5,686,male,0.2808588514136299,0.6127286658366056,0.32075471698113206,0.08883248730964467,3.6107816305119447,106,69
5,2636,male,0.27862408486522366,0.5730772914471793,0.33962264150943394,0.21065989847715735,1.612184579753208,106,119
5,2157,family,0.40119193894914157,0.6669028722600152,0.4074074074074074,0.07908163265306123,5.151732312394342,108,75
5,1572,family,0.37075355028353063,0.6114654195011338,0.3888888888888889,0.1913265306122449,2.032592581968909,108,117
5,686,family,0.35901988634800674,0.6224607898715041,0.32407407407407407,0.08673469387755102,3.7363833991874924,108,69
5,510,family,0.34846017624502,0.5907265684051398,0.39814814814814814,0.2627551020408163,1.5152822667969263,108,146
5,501,family,0.3449443210115636,0.5942696523053665,0.24074074074074073,0.05357142857142857,4.493827076609055,108,47
