layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
3,181,female,0.37234936766807136,0.6465660252156602,0.05461084891827714,0.05840060729040451,0.0037897583721273782,15.41011366437361,137,10
3,181,male,0.31097051380742413,0.6924442846872754,0.0004369866111582892,0.015392070891217056,0.014955084280058767,1.0292199363069956,130,10
3,181,family,0.23346616259359143,0.6092804352886406,-0.018615954386437997,7.812377931594818e-06,0.018623766764369592,0.00041948430894880683,128,10
3,181,marriage,0.20615091374457872,0.4209239685457516,-0.00254863166755627,0.013078260414896535,0.015626892082452805,0.8369073226495884,153,10
3,181,love,0.1297831867450784,0.453152460456942,-0.00539205895833365,0.010426866106956104,0.015818925065289754,0.6591387254988541,96,10
3,181,wealth,0.16429298973261006,0.4509483944618447,-0.018581276334457605,7.873891749736226e-06,0.01858915022620734,0.0004235745934320273,127,10
3,181,emotion,0.1727139851159842,0.46482464824648245,0.0015060900143139926,0.016268028162143705,0.014761938147829713,1.1020252217648934,123,10
3,181,scandal,0.11407272347648216,0.444836482282419,-0.017442821932184896,1.086932892763201e-05,0.017453691261112528,0.000622752446138802,92,10
3,181,duty,0.1288684864805027,0.41100079860606936,-0.005527400329160968,0.010319374858250345,0.015846775187411313,0.6511971511905379,97,10
3,181,class,0.14548484042886684,0.4999057315233785,-0.017817415719968168,9.61519970769793e-06,0.017827030919675867,0.0005393606905424829,104,10
3,181,society,0.21517648349722773,0.4811167306274938,-0.0026641352160203576,0.012993337748860403,0.01565747296488076,0.8298489658691552,154,10
3,221,female,0.21004599297914703,0.5122207476222075,-0.011358188088426369,7.299163515861082e-06,0.01136548725194223,0.0006422217854295263,137,6
3,221,male,0.19665317139001348,0.5040546369518332,-0.0016477470667118693,0.007699881540283994,0.009347628606995863,0.8237256595429557,130,6
3,221,family,0.21131170775496436,0.509500116387337,0.017856512610084994,0.023444946172716048,0.005588433562631052,4.195262573271575,128,6
3,221,marriage,0.23575851393188857,0.5097400939542485,0.005263837814984814,0.013078260414896535,0.00781442259991172,1.6736054706550774,153,6
3,221,love,0.14527778964456597,0.5040641476274166,-0.01053611941489151,1.0416449657298807e-05,0.010546535864548809,0.000987665503639452,96,6
3,221,wealth,0.19046626636245367,0.49959019992389425,-0.0014137388361925626,0.00788176564148596,0.009295504477678523,0.8479115533282445,127,6
3,221,emotion,0.1849624060150376,0.48523985239852396,-0.011063784914676274,8.129949106518593e-06,0.011071914863782792,0.0007342857315836203,123,6
3,221,scandal,0.13804983473175692,0.492336292586691,-0.010462043505582545,1.086932892763201e-05,0.010472912834510177,0.0010378515603393277,92,6
3,221,duty,0.1464227579257422,0.4920139393059387,0.0015148283953857755,0.010319374858250345,0.00880454646286457,1.172050701373762,97,6
3,221,class,0.155352323115481,0.49693198957904844,-0.010687316362033617,9.61519970769793e-06,0.010696931561741315,0.0008988745652247429,104,6
3,221,society,0.23061631351105036,0.48852517345668034,-0.011737100536373017,6.493422163348527e-06,0.011743593958536367,0.0005529331298171761,154,6
3,293,female,0.20494064702331183,0.4883875248838753,-0.011358188088426369,7.299163515861082e-06,0.01136548725194223,0.0006422217854295263,137,6
3,293,male,0.1947541931752458,0.4888785046728972,-0.011209088308665899,7.692189350933062e-06,0.011216780498016832,0.0006857751519348438,130,6
3,293,family,0.19878994360902258,0.4891250581936686,-0.0014926241678870807,0.007820190309526413,0.009312814477413493,0.8397236225045728,128,6
3,293,marriage,0.26413934935606764,0.5342562806372549,0.0137528174619302,0.01961412269120665,0.005861305229276448,3.3463745566244034,153,6
3,293,love,0.14354355439881755,0.49705257762155824,-0.01053611941489151,1.0416449657298807e-05,0.010546535864548809,0.000987665503639452,96,6
3,293,wealth,0.19137006797595277,0.49397740245294613,-0.0014137388361925626,0.00788176564148596,0.009295504477678523,0.8479115533282445,127,6
3,293,emotion,0.18925871589542964,0.49938499384993845,0.008886136582407837,0.016268028162143705,0.007381891579735869,2.2037750059344563,123,6
3,293,scandal,0.14289255748065818,0.5041448516579405,0.0021524800287000493,0.010880198256559639,0.00872771822785959,1.2466257469887754,92,6
3,293,duty,0.14620765832106036,0.49705060258457956,0.0015148283953857755,0.010319374858250345,0.00880454646286457,1.172050701373762,97,6
3,293,class,0.155476218827612,0.49609214315096667,-0.010687316362033617,9.61519970769793e-06,0.010696931561741315,0.0008988745652247429,104,6
3,293,society,0.2298826173826174,0.49167662083513347,-0.011737100536373017,6.493422163348527e-06,0.011743593958536367,0.0005529331298171761,154,6
3,344,female,0.20601503759398496,0.48863636363636365,-0.022721781408148643,7.299163515861082e-06,0.022729080571664503,0.0003211376497401985,137,12
3,344,male,0.2697513013302486,0.5461538461538462,0.09231209524865666,0.09231396440054768,1.8691518910209684e-06,49388.12915947392,130,12
3,344,family,0.2101947577276525,0.5178945530726257,0.035707075032695795,0.04688207996750051,0.011175004934804713,4.195262573646866,128,12
3,344,marriage,0.23075007780890136,0.4925704656862745,-0.014943846055772196,0.006542398138586422,0.021486244194358618,0.3044924035630056,153,12
3,344,love,0.14380411255411257,0.49545987111892215,-0.008906985092160948,0.010426866106956104,0.019333851199117052,0.5393062147335125,96,12
3,344,wealth,0.19097744360902255,0.4888475836431227,-0.02229873463386913,7.873891749736226e-06,0.022306608525618866,0.00035298471035344407,127,12
