layer,neuron_id,concept,AP,AUROC,P(fire|label=1),P(fire|label=0),lift,label_support,neuron_fires_total
4,1555,female,0.3479903545378751,0.6118648018648019,0.41818181818181815,0.25384615384615383,1.6473829136205025,110,145
4,3552,female,0.34523557556994094,0.5795571095571095,0.16363636363636364,0.005128205128205128,31.909084686819394,110,20
4,720,female,0.31977145814655183,0.57006993006993,0.2909090909090909,0.17435897435897435,1.6684491882919157,110,100
4,1355,female,0.3121818181818182,0.5590909090909091,0.11818181818181818,0.0,118181818.18181817,110,13
4,1480,female,0.3062719524611671,0.5943589743589743,0.4,0.2282051282051282,1.7528089810831968,110,133
4,1294,female,0.30261272931009114,0.6138111888111889,0.39090909090909093,0.18205128205128204,2.1472471072833677,110,114
4,241,female,0.29724242424242425,0.5430536130536131,0.1,0.015384615384615385,6.499999577500028,110,17
4,484,female,0.2959755350638359,0.5376107226107226,0.22727272727272727,0.1564102564102564,1.4530551322897072,110,86
4,1643,female,0.28461146770573686,0.5961771561771562,0.38181818181818183,0.18205128205128204,2.0973111280442196,110,113
4,202,female,0.28381818181818186,0.5409090909090909,0.08181818181818182,0.0,81818181.81818181,110,9
4,1294,male,0.4094998899132877,0.7172086007087444,0.5283018867924528,0.14720812182741116,3.5888093445213025,106,114
4,3459,male,0.33472124926449215,0.6061679915716885,0.3113207547169811,0.10406091370558376,2.9917164921891284,106,74
4,2755,male,0.2789056603773585,0.5378076812565846,0.08490566037735849,0.01015228426395939,8.363206723393949,106,13
4,2409,male,0.26691024225174786,0.5564361651182838,0.2641509433962264,0.20304568527918782,1.3009433898192688,106,108
4,2907,male,0.25660377358490566,0.5283018867924528,0.05660377358490566,0.0,56603773.58490566,106,6
4,3079,male,0.25389667279996786,0.5853246815439135,0.37735849056603776,0.24873096446700507,1.5171351498496697,106,138
4,720,male,0.2456590299124077,0.5419739488554737,0.25471698113207547,0.18527918781725888,1.3747738359503678,106,100
4,1663,male,0.24536895952918203,0.47965951537209084,0.2169811320754717,0.26903553299492383,0.8065147709431041,106,129
4,1643,male,0.24480711459742965,0.5430753759218465,0.2830188679245283,0.21065989847715735,1.34348714979434,106,113
4,2619,male,0.2442946835797426,0.46511349487596976,0.19811320754716982,0.27918781725888325,0.709605486309094,106,131
4,1294,family,0.37252265802249246,0.7078727324263039,0.5555555555555556,0.1377551020408163,4.032921781423564,108,114
4,1643,family,0.36467132062162566,0.6462585034013605,0.4444444444444444,0.16581632653061223,2.680341864177357,108,113
4,720,family,0.3359297151540112,0.5685232426303855,0.2962962962962963,0.17346938775510204,1.70806099233218,108,100
4,2552,family,0.32836973186490015,0.5827900604686318,0.19444444444444445,0.025510204081632654,7.622221923431123,108,31
4,3459,family,0.32341220742752763,0.6344718442932729,0.35185185185185186,0.09183673469387756,3.8312756784462736,108,74
4,2209,family,0.279168427900884,0.5560043461829176,0.12962962962962962,0.017857142857142856,7.259258852740763,108,21
4,2755,family,0.2731813001813001,0.5367535903250189,0.08333333333333333,0.01020408163265306,8.166665866333412,108,13
4,3552,family,0.26562890341321704,0.5282147581254724,0.08333333333333333,0.02806122448979592,2.9696968638677723,108,20
4,2803,family,0.26162942632721164,0.5080073696145124,0.1388888888888889,0.11989795918367346,1.158392425326694,108,62
4,548,family,0.2549259259259259,0.5120228647014362,0.05555555555555555,0.017857142857142856,3.111110936888899,108,13
4,3369,marriage,0.39357166206697913,0.650219012923931,0.4426229508196721,0.18518518518518517,2.3901639215193446,122,124
4,656,marriage,0.30164474970600946,0.5433688958279121,0.14754098360655737,0.06349206349206349,2.3237704552038942,122,42
4,77,marriage,0.2916384335154827,0.5315075028189782,0.06557377049180328,0.0026455026455026454,24.786875876462563,122,9
4,1181,marriage,0.28368083079138573,0.5165452337583485,0.16393442622950818,0.13227513227513227,1.2393442529256393,122,70
4,3492,marriage,0.28231741891987794,0.5266501864862521,0.06557377049180328,0.018518518518518517,3.540983415344273,122,15
4,3530,marriage,0.28109883968490523,0.5411137132448609,0.07377049180327869,0.013227513227513227,5.5770487587029836,122,14
4,3079,marriage,0.27904686074667984,0.5332639431000087,0.3114754098360656,0.26455026455026454,1.1773770447298426,122,138
4,548,marriage,0.2789896660181135,0.5345216410790181,0.06557377049180328,0.013227513227513227,4.957376674402652,122,13
4,2304,marriage,0.27864324746291963,0.5232890970595888,0.04918032786885246,0.0026455026455026454,18.59015690734692,122,7
4,964,marriage,0.2766868108626942,0.5150706913001996,0.21311475409836064,0.18518518518518517,1.1508196659167214,122,96
4,560,love,0.2472129098585298,0.6264451827242524,0.4714285714285714,0.23953488372093024,1.9680998530874056,70,136
4,966,love,0.22166388590053637,0.6317275747508305,0.45714285714285713,0.2372093023255814,1.9271708602229911,70,134
4,548,love,0.21432862375719516,0.553421926910299,0.11428571428571428,0.011627906976744186,9.82857058331436,70,13
4,692,love,0.21398304227973639,0.5553820598006645,0.24285714285714285,0.1558139534883721,1.5586353844531076,70,84
4,1669,love,0.19924106306073355,0.5729900332225913,0.32857142857142857,0.19534883720930232,1.6819727805055475,70,107
4,2803,love,0.19272180794102464,0.5667441860465117,0.24285714285714285,0.10465116279069768,2.3206348984599647,70,62
4,875,love,0.18443643908305563,0.5199335548172758,0.11428571428571428,0.07906976744186046,1.4453781329807218,70,42
4,1555,love,0.1829982598459423,0.5754152823920266,0.37142857142857144,0.27674418604651163,1.3421368498921584,70,145
4,2325,love,0.18286612991507317,0.5391694352159468,0.11428571428571428,0.05116279069767442,2.2337661901062584,70,30
