run_A,run_B,n_overlap_neurons,n_neurons_A,n_neurons_B,ap_mean_diff_B_minus_A,ap_wilcoxon_stat,ap_wilcoxon_p,ap_ttest_stat,ap_ttest_p,ap_cohen_d,ap_ci_low,ap_ci_high,pol_mean_diff_B_minus_A,pol_wilcoxon_stat,pol_wilcoxon_p,concepts_chi2_stat,concepts_chi2_p,concepts_kl_div,mi_primary_secondary_A,mi_primary_secondary_B,mi_primary_secondary_diff_B_minus_A,prop_no_secondary_A,prop_no_secondary_B,prop_no_secondary_diff_B_minus_A
thr_3_0_min_10_max_100,thr_3_0_min_20_max_100,440,717,440,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,224.99350222886275,1.863066223949534e-43,0.011363783823496919,3.892852598067566,3.7993068657408995,-0.09354573232666663,0.02789400278940028,0.025,-0.0028940027894002775
thr_3_0_min_10_max_100,thr_3_0_min_5_max_150,717,717,1178,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,64856264158.632545,0.0,0.005114940872892028,3.892852598067566,4.014898963032058,0.12204636496449206,0.02789400278940028,0.02461799660441426,-0.0032760061849860175
thr_3_0_min_10_max_100,thr_5_0_min_0_max_200,717,717,29561,-0.004066159558324249,4547.0,4.088874917598829e-06,5.061126496614894,5.304139567854619e-07,-0.18901123259123725,-0.005581427529820827,-0.0024955963843188564,0.040759796742082334,33993.0,0.012940988670364025,732427318.6882639,0.0,1.9610678111848614,3.892852598067566,0.47410331604747374,-3.418749282020092,0.02789400278940028,0.013429856906058659,-0.01446414588334162
thr_3_0_min_10_max_100,thr_5_0_min_5_max_150,394,717,521,-0.002118196472262194,518.0,0.00897401559675338,2.9549968637684896,0.003314982411152582,-0.14887059130853314,-0.003476204489990154,-0.0008118648131578226,0.0036018861372580503,6462.0,0.4500050076307356,36840418601.4268,0.0,0.014620308344096139,3.892852598067566,3.8769687530397916,-0.015883845027774512,0.02789400278940028,0.0345489443378119,0.006654941548411623
thr_3_0_min_10_max_100,thr_7_0_min_5_max_150,169,717,268,-0.0005318579963925361,66.0,0.6191537066890378,0.4931870319976153,0.6225244877487381,-0.03793746399981656,-0.002859322921412388,0.0013500402791800999,0.017433212987433926,1253.0,0.05503186698602843,986.3962805853621,1.4783817824784454e-206,0.06424523150166284,3.892852598067566,3.618335794368151,-0.2745168036994152,0.02789400278940028,0.048507462686567165,0.020613459897166887
thr_3_0_min_20_max_100,thr_3_0_min_5_max_150,440,440,1178,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,64856264564.32976,0.0,0.023585605848413148,3.7993068657408995,4.014898963032058,0.2155920972911587,0.025,0.02461799660441426,-0.00038200339558574006
thr_3_0_min_20_max_100,thr_5_0_min_0_max_200,440,440,29561,-0.00445415882046494,1127.0,1.870832771411304e-05,4.6330128723091555,4.756817382484002e-06,-0.22087022246200233,-0.00642573655039101,-0.0026148660592738315,0.031132569572642467,11377.0,0.09278648059008379,732427094.8730319,0.0,1.9726077953218233,3.7993068657408995,0.47410331604747374,-3.3252035496934256,0.025,0.013429856906058659,-0.011570143093941342
thr_3_0_min_20_max_100,thr_5_0_min_5_max_150,297,440,521,-0.002307719780942529,302.0,0.02430034172540051,2.6610755972258344,0.008214247517296923,-0.15441126742866063,-0.004054606415573044,-0.0006724402763911623,0.004687233288121742,3676.0,0.4294790730572484,36840418567.783134,0.0,0.012792373144650357,3.7993068657408995,3.8769687530397916,0.07766188729889212,0.025,0.0345489443378119,0.0095489443378119
thr_3_0_min_20_max_100,thr_7_0_min_5_max_150,134,440,268,-0.000633748163016747,57.0,0.5694942779917188,0.46581604425321427,0.6421091127210522,-0.040240377275956134,-0.003595175998179095,0.001796498134138211,0.027467036549678452,655.0,0.006365479020837648,975.7071417189203,2.9810940971319873e-204,0.06538216668427313,3.7993068657408995,3.618335794368151,-0.1809710713727486,0.025,0.048507462686567165,0.023507462686567164
thr_3_0_min_5_max_150,thr_5_0_min_0_max_200,1178,1178,29561,-0.0027904682913375465,22469.0,0.0007896316586321082,4.034280503948689,5.830081451915718e-05,-0.11754210019370118,-0.004158919317754374,-0.0014793434448056152,0.0716930865573651,98550.0,1.30083501960869e-06,37908.0321742436,0.0,1.9535745461921021,4.014898963032058,0.47410331604747374,-3.5407956469845843,0.02461799660441426,0.013429856906058659,-0.011188139698355602
thr_3_0_min_5_max_150,thr_5_0_min_5_max_150,487,1178,521,-0.001748236138117642,713.0,0.012164987289326164,2.7914712255531833,0.005453490369666786,-0.12649363557933174,-0.003027084390743185,-0.0006041129577577968,0.0044889078698481235,8498.0,0.2204460617780586,315.48267780241895,8.250117466098501e-62,0.01673833231428906,4.014898963032058,3.8769687530397916,-0.13793020999226657,0.02461799660441426,0.0345489443378119,0.00993094773339764
thr_3_0_min_5_max_150,thr_7_0_min_5_max_150,228,1178,268,-0.0007615609504659275,118.0,0.7825803044501396,0.8351785387306668,0.4044953367302899,-0.05531104992375346,-0.002698836966141218,0.0009462264506879395,0.024646114464862166,1771.0,0.004292630602108508,1023.4637931203858,1.6482426477540692e-213,0.11754314209088032,4.014898963032058,3.618335794368151,-0.3965631686639073,0.02461799660441426,0.048507462686567165,0.023889466082152904
thr_5_0_min_0_max_200,thr_5_0_min_5_max_150,521,29561,521,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,127048.22222710437,0.0,1.3915713028890642,0.47410331604747374,3.8769687530397916,3.4028654369923177,0.013429856906058659,0.0345489443378119,0.021119087431753242
thr_5_0_min_0_max_200,thr_7_0_min_5_max_150,263,29561,268,-0.0007693590333534412,57.0,0.3559586988465746,0.98102847438228,0.32748371548412336,-0.06049280721309139,-0.002335425725183885,0.0006788005262411681,0.018843075178202637,1427.0,0.00556353676483643,146721.31284218887,0.0,1.4496164739215998,0.47410331604747374,3.618335794368151,3.144232478320677,0.013429856906058659,0.048507462686567165,0.0350776057805085
thr_5_0_min_5_max_150,thr_7_0_min_5_max_150,258,521,268,-0.0007842690921393606,57.0,0.3559586988465746,0.9810271106635077,0.3275019770180754,-0.061076080140562365,-0.0023995844013143634,0.0006235211385304021,0.019771013076911186,1364.0,0.003910241742220137,605.6445203177733,1.0870734450266892e-123,0.09109459559765479,3.8769687530397916,3.618335794368151,-0.2586329586716407,0.0345489443378119,0.048507462686567165,0.013958518348755264
