primary_concept,count,mean_primary_AP,count_no_secondary
female,144,0.309,2
marriage,98,0.279,8
male,81,0.308,6
society,59,0.298,1
family,45,0.268,0
emotion,38,0.242,1
wealth,27,0.234,0
class,12,0.252,0
love,9,0.249,0
duty,7,0.207,0
scandal,1,0.167,0
