primary_concept,secondary_concept,count,share_within_primary_%
female,male,51,35.416666666666664
female,family,30,20.833333333333332
female,marriage,28,19.444444444444443
male,family,23,28.395061728395063
male,female,22,27.160493827160494
marriage,female,22,22.448979591836736
marriage,wealth,19,19.387755102040817
society,emotion,19,32.20338983050848
female,emotion,16,11.11111111111111
family,female,14,31.11111111111111
marriage,society,13,13.26530612244898
marriage,family,12,12.244897959183673
marriage,duty,12,12.244897959183673
society,class,11,18.64406779661017
society,wealth,10,16.949152542372882
male,love,10,12.345679012345679
emotion,wealth,10,26.31578947368421
family,male,9,20.0
female,duty,9,6.25
society,marriage,9,15.254237288135593
marriage,None,8,8.16326530612245
emotion,male,6,15.789473684210526
male,None,6,7.407407407407407
family,marriage,5,11.11111111111111
male,emotion,5,6.172839506172839
male,society,5,6.172839506172839
emotion,love,5,13.157894736842104
class,wealth,5,41.666666666666664
marriage,emotion,5,5.1020408163265305
wealth,society,5,18.51851851851852
wealth,marriage,5,18.51851851851852
marriage,male,4,4.081632653061225
family,wealth,4,8.88888888888889
emotion,class,4,10.526315789473685
wealth,emotion,4,14.814814814814815
male,class,4,4.938271604938271
wealth,family,3,11.11111111111111
wealth,love,3,11.11111111111111
emotion,society,3,7.894736842105263
emotion,marriage,3,7.894736842105263
class,love,3,25.0
wealth,class,3,11.11111111111111
society,male,3,5.084745762711864
male,wealth,3,3.7037037037037037
society,duty,3,5.084745762711864
family,society,3,6.666666666666667
love,society,3,33.333333333333336
emotion,duty,3,7.894736842105263
family,class,3,6.666666666666667
family,duty,3,6.666666666666667
female,society,2,1.3888888888888888
emotion,family,2,5.2631578947368425
female,None,2,1.3888888888888888
female,love,2,1.3888888888888888
class,female,2,16.666666666666668
wealth,duty,2,7.407407407407407
love,emotion,2,22.22222222222222
marriage,class,2,2.0408163265306123
family,love,2,4.444444444444445
family,emotion,2,4.444444444444445
female,scandal,2,1.3888888888888888
love,wealth,2,22.22222222222222
female,wealth,2,1.3888888888888888
class,emotion,1,8.333333333333334
class,society,1,8.333333333333334
duty,class,1,14.285714285714286
duty,love,1,14.285714285714286
duty,marriage,1,14.285714285714286
duty,scandal,1,14.285714285714286
emotion,None,1,2.6315789473684212
duty,emotion,1,14.285714285714286
emotion,scandal,1,2.6315789473684212
duty,male,1,14.285714285714286
duty,female,1,14.285714285714286
male,scandal,1,1.2345679012345678
love,duty,1,11.11111111111111
male,marriage,1,1.2345679012345678
male,duty,1,1.2345679012345678
love,marriage,1,11.11111111111111
scandal,class,1,100.0
society,None,1,1.694915254237288
marriage,love,1,1.0204081632653061
society,family,1,1.694915254237288
society,scandal,1,1.694915254237288
society,love,1,1.694915254237288
wealth,female,1,3.7037037037037037
wealth,male,1,3.7037037037037037
