layer,dominant,leaning,two-strong
1,0.4,0.7,98.9
2,0.8,1.2,98.0
3,0.8,0.7,98.5
4,1.2,1.1,97.7
5,1.7,1.6,96.7
6,1.8,1.8,96.4
7,1.7,1.7,96.6
8,2.6,2.1,95.2
