layer,neuron_id,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
5,2246,male,0.626468657414909,love,0.1496618936652551,0.7611023430223476,dominant
4,2130,male,0.591075112632674,love,0.1384464808436036,0.7657717629275089,dominant
7,121,family,0.520283263490767,female,0.347617695164215,0.3318683880703916,leaning
8,3036,society,0.4973540722034092,marriage,0.2587457488711628,0.479755442225281,leaning
8,2392,family,0.4779166466147045,male,0.3896825378997889,0.1846223795619895,two-strong
7,2963,society,0.4673460412175101,emotion,0.1908313270236825,0.5916701741642938,dominant
6,4071,society,0.4602209839543164,love,0.1528265333601979,0.6679279316753273,dominant
6,2871,female,0.4534996585463117,marriage,0.2457862505072203,0.4580232943215243,leaning
8,755,female,0.4455658787337547,family,0.229297100397431,0.4853800261042291,leaning
8,1980,male,0.4449682183999655,family,0.2359907464537499,0.4696458372420827,leaning
