primary_concept,secondary_concept,count,share_within_primary_%
female,male,28,32.18390804597701
female,marriage,23,26.436781609195403
male,family,14,28.0
female,family,13,14.942528735632184
female,emotion,13,14.942528735632184
male,female,10,20.0
male,None,10,20.0
marriage,female,10,20.833333333333332
marriage,family,10,20.833333333333332
family,female,9,32.142857142857146
male,love,7,14.0
society,emotion,7,29.166666666666668
family,male,7,25.0
family,marriage,6,21.428571428571427
marriage,wealth,6,12.5
marriage,duty,5,10.416666666666666
emotion,wealth,5,29.41176470588235
female,love,5,5.747126436781609
marriage,society,5,10.416666666666666
society,class,5,20.833333333333332
marriage,love,5,10.416666666666666
society,wealth,4,16.666666666666668
wealth,marriage,4,44.44444444444444
society,marriage,4,16.666666666666668
marriage,emotion,3,6.25
emotion,society,3,17.647058823529413
female,scandal,2,2.2988505747126435
emotion,male,2,11.764705882352942
family,duty,2,7.142857142857143
emotion,family,2,11.764705882352942
emotion,duty,2,11.764705882352942
male,emotion,2,4.0
marriage,None,2,4.166666666666667
male,wealth,2,4.0
wealth,love,2,22.22222222222222
male,duty,2,4.0
family,love,1,3.5714285714285716
family,class,1,3.5714285714285716
family,wealth,1,3.5714285714285716
emotion,love,1,5.882352941176471
duty,scandal,1,33.333333333333336
duty,class,1,33.333333333333336
duty,male,1,33.333333333333336
emotion,scandal,1,5.882352941176471
emotion,marriage,1,5.882352941176471
family,emotion,1,3.5714285714285716
class,wealth,1,100.0
love,wealth,1,100.0
female,wealth,1,1.1494252873563218
female,None,1,1.1494252873563218
female,duty,1,1.1494252873563218
marriage,class,1,2.0833333333333335
male,class,1,2.0
male,marriage,1,2.0
male,society,1,2.0
society,love,1,4.166666666666667
society,family,1,4.166666666666667
society,duty,1,4.166666666666667
marriage,scandal,1,2.0833333333333335
wealth,duty,1,11.11111111111111
society,scandal,1,4.166666666666667
wealth,emotion,1,11.11111111111111
wealth,society,1,11.11111111111111
